column,final_decision,decision_mode,confidence,esrs,reasoning_chain,rule_result,semantic_result,conflict,scores
timestamp,metadata,excluded,0.0,,['Filtered as metadata'],,,,nan
site,metadata,excluded,0.0,,['Filtered as metadata'],,,,nan
elec_use_kwh,energy_consumption,aligned,0.08150712457934271,E1-5,"['Rule: energy_consumption', 'Semantic: energy_consumption', 'Final selected: energy_consumption', 'Confidence computed via margin + entropy']",energy_consumption,energy_consumption,False,"{'energy_consumption': np.float64(0.2347444732554812), 'ghg_scope1': np.float64(0.15425837042841503), 'ghg_scope2': np.float64(0.1744761467048108), 'water_usage': np.float64(0.14159248262472734), 'waste': np.float64(0.15401548644016372), 'fuel_consumption': np.float64(0.14091304054640186)}"
energy,energy_consumption,aligned,0.05436990993866454,E1-5,"['Rule: energy_consumption', 'Semantic: energy_consumption', 'Final selected: energy_consumption', 'Confidence computed via margin + entropy']",energy_consumption,energy_consumption,False,"{'energy_consumption': np.float64(0.20420158393121057), 'ghg_scope1': np.float64(0.15950062494727724), 'ghg_scope2': np.float64(0.16941759916748808), 'water_usage': np.float64(0.14504541428525136), 'waste': np.float64(0.15672239854610057), 'fuel_consumption': np.float64(0.1651123791226723)}"
CO2 Scope1,ghg_scope1,aligned,0.08617762398784273,E1-6,"['Rule: ghg_scope1', 'Semantic: ghg_scope1', 'Final selected: ghg_scope1', 'Confidence computed via margin + entropy']",ghg_scope1,ghg_scope1,False,"{'energy_consumption': np.float64(0.13281063067826074), 'ghg_scope1': np.float64(0.24127441600052033), 'ghg_scope2': np.float64(0.1800834650817741), 'water_usage': np.float64(0.14540066945721497), 'waste': np.float64(0.14302709129540014), 'fuel_consumption': np.float64(0.15740372748682982)}"
co2_emissions,ghg_scope1,semantic_dominant,0.05517070664008969,E1-6,"['Rule: ghg_scope2', 'Semantic: ghg_scope1', 'Final selected: ghg_scope1', 'Confidence computed via margin + entropy']",ghg_scope2,ghg_scope1,True,"{'energy_consumption': np.float64(0.14777973273125333), 'ghg_scope1': np.float64(0.20447534339412346), 'ghg_scope2': np.float64(0.16751516001994504), 'water_usage': np.float64(0.15884689504804528), 'waste': np.float64(0.1547613966196442), 'fuel_consumption': np.float64(0.16662147218698872)}"
water usage liters,water_usage,aligned,0.11759386347523738,E3-4,"['Rule: water_usage', 'Semantic: water_usage', 'Final selected: water_usage', 'Confidence computed via margin + entropy']",water_usage,water_usage,False,"{'energy_consumption': np.float64(0.1423564302638093), 'ghg_scope1': np.float64(0.13971261206445604), 'ghg_scope2': np.float64(0.1467026584199013), 'water_usage': np.float64(0.26802992368868733), 'waste': np.float64(0.15925391933340524), 'fuel_consumption': np.float64(0.14394445622974078)}"
wasteKg,waste,aligned,0.0930877502238158,E5-3,"['Rule: waste', 'Semantic: waste', 'Final selected: waste', 'Confidence computed via margin + entropy']",waste,waste,False,"{'energy_consumption': np.float64(0.14408799650020232), 'ghg_scope1': np.float64(0.14656495793582794), 'ghg_scope2': np.float64(0.1336895554031403), 'water_usage': np.float64(0.17205613848896031), 'waste': np.float64(0.2461752283526881), 'fuel_consumption': np.float64(0.1574261233191811)}"
gas_consumption,fuel_consumption,aligned,0.04004389048889527,E1-5,"['Rule: fuel_consumption', 'Semantic: fuel_consumption', 'Final selected: fuel_consumption', 'Confidence computed via margin + entropy']",fuel_consumption,fuel_consumption,False,"{'energy_consumption': np.float64(0.15202156307169756), 'ghg_scope1': np.float64(0.18201692414737278), 'ghg_scope2': np.float64(0.15002817403019933), 'water_usage': np.float64(0.16879979822175278), 'waste': np.float64(0.1545060527360512), 'fuel_consumption': np.float64(0.19262748779292635)}"
production_output,waste,semantic_dominant,0.025009296617463192,E5-3,"['Rule: None', 'Semantic: waste', 'Final selected: waste', 'Confidence computed via margin + entropy']",,waste,False,"{'energy_consumption': np.float64(0.1570440222941767), 'ghg_scope1': np.float64(0.17110219584011935), 'ghg_scope2': np.float64(0.1596470171990505), 'water_usage': np.float64(0.17026286577605357), 'waste': np.float64(0.17272228497168135), 'fuel_consumption': np.float64(0.16922161391891868)}"
